window_id,window_start_index,train_start,train_end,test_start,test_end,scenario,power_multiplier,policy,public_energy_required_kwh,public_unmet_kwh,public_service_rate_percent,public_charging_cost,public_peak_load_kw,public_voltage_violation_rate_percent
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,nominal_public,1.0,uncontrolled,1175.4549799999998,0.0,100.0,234.12321024999997,159.44884857143632,0.0
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,nominal_public,1.0,edf_safe,1175.4549799999998,2.3593414067793604e-09,99.99999999979929,227.94804315095251,150.5312312718715,0.0
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,nominal_public,1.0,fedavg_local_safe,1175.4549799999998,157.69638512010852,86.58422586970464,196.31548587013916,156.5528485650214,0.0
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,nominal_public,1.0,fedavg_graph_safe,1175.4549799999998,156.36943178960593,86.697114355702,195.9789247605105,156.604335234775,0.0
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,nominal_public,1.0,grid_fedgat_no_guard,1175.4549799999998,8.539686355523944,99.27349949586977,227.33394515793006,161.25732962269967,0.0
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,nominal_public,1.0,grid_fedgat_pilot,1175.4549799999998,0.0,100.0,218.97215554686375,155.96372050103625,0.0
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,stressed_public_4x,4.0,uncontrolled,1175.4549799999998,0.0,100.0,936.4928409999999,251.0779873059759,0.9765625
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,stressed_public_4x,4.0,edf_safe,1175.4549799999998,30.583505855390655,97.39815591615506,888.771057488807,189.90342708568136,0.0
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,stressed_public_4x,4.0,fedavg_local_safe,1175.4549799999998,244.9499974533194,79.16126082061268,724.0340691646176,202.34037986628235,0.0
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,stressed_public_4x,4.0,fedavg_graph_safe,1175.4549799999998,243.6675363450981,79.27036420015864,723.1132686913352,203.69408081345523,0.0
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,stressed_public_4x,4.0,grid_fedgat_no_guard,1175.4549799999998,132.46798467097724,88.73049270921653,821.5789923813265,205.6356692433678,0.0
0,0,2011-10-28,2012-03-16,2012-03-19,2012-03-30,stressed_public_4x,4.0,grid_fedgat_pilot,1175.4549799999998,71.75643646272563,93.89543302945336,826.0144341218909,203.4279887779193,0.0
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,nominal_public,1.0,uncontrolled,1762.8667059999998,0.0,100.0,354.1688758100001,159.40120139394398,0.0
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,nominal_public,1.0,edf_safe,1762.8667059999998,1.2285133970312996e-09,99.99999999993031,343.0404126204799,158.99120782461915,0.0
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,nominal_public,1.0,fedavg_local_safe,1762.8667059999998,235.78494367239503,86.62491367782431,300.91633914913285,164.69493276297266,0.0
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,nominal_public,1.0,fedavg_graph_safe,1762.8667059999998,219.16254467160425,87.56783233095989,303.7375520667784,164.21569379175568,0.0
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,nominal_public,1.0,grid_fedgat_no_guard,1762.8667059999998,19.27594632060076,98.90655678872406,344.38316328594846,166.5277837140673,0.0
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,nominal_public,1.0,grid_fedgat_pilot,1762.8667059999998,2.220446049250313e-16,100.0,334.2125126485676,166.00781121406038,0.0
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,stressed_public_4x,4.0,uncontrolled,1762.8667059999998,0.0,100.0,1416.6755032400004,278.2592073926411,2.294921875
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,stressed_public_4x,4.0,edf_safe,1762.8667059999998,176.90239915117252,89.96507231380133,1243.659330557523,212.56032987641328,0.0
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,stressed_public_4x,4.0,fedavg_local_safe,1762.8667059999998,426.93001551163763,75.78205918470402,1058.077761609641,212.68048512369057,0.0
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,stressed_public_4x,4.0,fedavg_graph_safe,1762.8667059999998,414.37083203525304,76.49448874240335,1068.0625557021315,212.68048556675774,0.0
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,stressed_public_4x,4.0,grid_fedgat_no_guard,1762.8667059999998,288.4619622444227,83.63676838057982,1180.234444332525,212.6804830290931,0.0
1,694,2014-05-29,2014-06-15,2014-06-16,2014-06-23,stressed_public_4x,4.0,grid_fedgat_pilot,1762.8667059999998,236.85584538857364,86.56416593594832,1179.6661884566413,212.6804840825726,0.0
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,nominal_public,1.0,uncontrolled,3780.318204,0.0,100.0,781.0945814700008,189.84953852510702,0.0
2,1389,2016-05-07,2016-05-24,2016-05-25,2016-06-01,nominal_public,1.0,edf_safe,3780.318204,14.023632292049479,99.6290356648493,753.9286602534904,185.56211618429808,0.0
