validation,variant,reserve_label,scenario_count,service_rate_mean,service_gain_vs_graph_mean,service_gain_vs_no_guard_mean,service_win_vs_graph_rate,service_win_vs_no_guard_rate,cost_delta_vs_graph_mean,cost_delta_vs_no_guard_mean,cost_lower_than_graph_rate,zero_violation_rate
public_windows,hard_floor_only,"max=0.00, tiers=0.00/0.00/0.00",10,85.4084979224807,4.824972223647369,0.6103173965401296,1.0,1.0,6.632113792465165,1.1032816019167961,0.0,1.0
public_windows,cost_lean,"max=0.40, tiers=1.00/0.25/0.00",10,85.92169231756172,5.33816661872839,1.1235117916211508,1.0,1.0,5.609781828274446,0.21483252063872507,0.0,1.0
public_windows,selected,"max=0.60, tiers=1.00/0.50/0.05",10,86.96715547236988,6.383629773536546,2.1689749464293073,1.0,1.0,5.632072700161917,0.23728436308466266,0.0,1.0
public_windows,flat_high,"max=0.60, tiers=1.00/1.00/1.00",10,88.46673730802334,7.883211609189992,3.668556782082753,1.0,1.0,12.153154246191999,6.316447989177801,0.0,1.0
robust_synthetic,hard_floor_only,"max=0.00, tiers=0.00/0.00/0.00",15,82.85664504031578,0.1332060641534852,0.4126726694019387,0.6666666666666666,1.0,0.26860221710780385,1.001424199054297,0.26666666666666666,1.0
robust_synthetic,cost_lean,"max=0.40, tiers=1.00/0.25/0.00",15,83.38681052990586,0.6633715537435544,0.9428381589920078,0.9333333333333333,1.0,-0.5479991366331606,0.17654449577388948,0.7333333333333333,1.0
robust_synthetic,selected,"max=0.60, tiers=1.00/0.50/0.05",15,84.50211388868011,1.7786749125178218,2.058141517766275,1.0,1.0,-0.7998153958307678,-0.07745887707187135,0.6666666666666666,1.0
robust_synthetic,flat_high,"max=0.60, tiers=1.00/1.00/1.00",15,87.05226125151643,4.328822275354116,4.6082888806025695,1.0,1.0,12.74733423589207,13.594261235412354,0.0,1.0
