window_id,scenario,prop_service_minus_graph,prop_service_minus_no_guard,prop_cost_minus_graph_percent,prop_violation_rate,uncontrolled_violation_rate
0,nominal_public,13.302885644298001,0.7265005041302288,11.73250175469192,0.0,0.0
0,stressed_public_4x,14.625068829294719,5.164940320236823,14.23029695151115,0.0,0.9765625
1,nominal_public,12.432167669040112,1.0934432112759396,10.03332000749421,0.0,0.0
1,stressed_public_4x,10.069677193544976,2.9273975553685005,10.449166311344277,0.0,2.294921875
2,nominal_public,2.2248919273165484,1.9955326282428985,0.31535682976780155,0.0,0.0
2,stressed_public_4x,3.193576017458817,3.0787586424100724,3.5539296261080304,0.0,23.356119791666668
3,nominal_public,2.241647036054488,2.097032384332678,0.7601596565255435,0.0,0.0
3,stressed_public_4x,2.2342073027946654,2.1945948910494693,1.687575969569723,0.0,15.576171875
4,nominal_public,1.6168977170583076,1.2725878534274386,1.0936382105409588,0.0,0.0
4,stressed_public_4x,1.8952783985048285,1.1389614738190232,2.464781684065556,0.0,7.096354166666667
