validation,scenario,seed_or_window,stress,variant,reserve_label,service_rate_percent,unmet_kwh,charging_cost,voltage_violation_rate_percent,graph_service_rate_percent,graph_charging_cost,no_guard_service_rate_percent,no_guard_charging_cost
robust_synthetic,compact,20260611,synthetic,hard_floor_only,"max=0.00, tiers=0.00/0.00/0.00",97.90600369776108,94.23383681715407,842.0933977116168,0.0,97.58099169409007,841.1014056674887,97.42298116902379,833.6029840849097
robust_synthetic,compact,20260611,synthetic,cost_lean,"max=0.40, tiers=1.00/0.25/0.00",98.3952901989826,72.21500886428383,839.0569072722654,0.0,97.58099169409007,841.1014056674887,97.42298116902379,833.6029840849097
robust_synthetic,compact,20260611,synthetic,selected,"max=0.60, tiers=1.00/0.50/0.05",99.12583143494335,39.33925662722301,842.0050920720732,0.0,97.58099169409007,841.1014056674887,97.42298116902379,833.6029840849097
robust_synthetic,compact,20260611,synthetic,flat_high,"max=0.60, tiers=1.00/1.00/1.00",99.98488488026031,0.6802092847526318,1027.3440589575862,0.0,97.58099169409007,841.1014056674887,97.42298116902379,833.6029840849097
robust_synthetic,compact,20260612,synthetic,hard_floor_only,"max=0.00, tiers=0.00/0.00/0.00",97.37345341941557,113.82503411103336,803.2757122215999,0.0,96.88385725989023,803.0400550064768,96.71249943772612,790.2071204130668
robust_synthetic,compact,20260612,synthetic,cost_lean,"max=0.40, tiers=1.00/0.25/0.00",98.09115215863031,82.7225651594312,780.1701290700325,0.0,96.88385725989023,803.0400550064768,96.71249943772612,790.2071204130668
robust_synthetic,compact,20260612,synthetic,selected,"max=0.60, tiers=1.00/0.50/0.05",98.4379524931146,67.6934923098622,762.0323077029526,0.0,96.88385725989023,803.0400550064768,96.71249943772612,790.2071204130668
robust_synthetic,compact,20260612,synthetic,flat_high,"max=0.60, tiers=1.00/1.00/1.00",99.95283610932604,2.043912529271779,944.592501514512,0.0,96.88385725989023,803.0400550064768,96.71249943772612,790.2071204130668
robust_synthetic,compact,20260613,synthetic,hard_floor_only,"max=0.00, tiers=0.00/0.00/0.00",97.13167857140633,139.76636183619775,907.3801684518118,0.0,96.46937874689705,896.5798542576512,96.52738786711585,895.9879638092824
robust_synthetic,compact,20260613,synthetic,cost_lean,"max=0.40, tiers=1.00/0.25/0.00",97.62219074299047,115.86489076142325,883.8599684613087,0.0,96.46937874689705,896.5798542576512,96.52738786711585,895.9879638092824
robust_synthetic,compact,20260613,synthetic,selected,"max=0.60, tiers=1.00/0.50/0.05",98.29146784052563,83.25263745875098,873.7076634727784,0.0,96.46937874689705,896.5798542576512,96.52738786711585,895.9879638092824
robust_synthetic,compact,20260613,synthetic,flat_high,"max=0.60, tiers=1.00/1.00/1.00",99.90680673021409,4.54108250761241,1020.2096329251291,0.0,96.46937874689705,896.5798542576512,96.52738786711585,895.9879638092824
robust_synthetic,compact,20260614,synthetic,hard_floor_only,"max=0.00, tiers=0.00/0.00/0.00",97.15473827069407,143.15798796473376,924.3992768586678,0.0,96.69092997881236,924.2052888911591,96.57169969080006,913.7740455955361
robust_synthetic,compact,20260614,synthetic,cost_lean,"max=0.40, tiers=1.00/0.25/0.00",97.70336403465969,115.55414410531816,909.4930940190237,0.0,96.69092997881236,924.2052888911591,96.57169969080006,913.7740455955361
robust_synthetic,compact,20260614,synthetic,selected,"max=0.60, tiers=1.00/0.50/0.05",98.43943601010336,78.51903344523458,891.5793996077763,0.0,96.69092997881236,924.2052888911591,96.57169969080006,913.7740455955361
robust_synthetic,compact,20260614,synthetic,flat_high,"max=0.60, tiers=1.00/1.00/1.00",99.82403870484136,8.853408709336968,1064.8472995836532,0.0,96.69092997881236,924.2052888911591,96.57169969080006,913.7740455955361
robust_synthetic,compact,20260615,synthetic,hard_floor_only,"max=0.00, tiers=0.00/0.00/0.00",97.60966743369714,115.24177481249245,882.0004694850362,0.0,96.85827653495247,870.1863115893058,96.70127647652525,867.7287267542638
robust_synthetic,compact,20260615,synthetic,cost_lean,"max=0.40, tiers=1.00/0.25/0.00",97.9065198811868,100.93004121173536,873.7756994636297,0.0,96.85827653495247,870.1863115893058,96.70127647652525,867.7287267542638
robust_synthetic,compact,20260615,synthetic,selected,"max=0.60, tiers=1.00/0.50/0.05",98.29115585954503,82.38612250033098,849.4425517108431,0.0,96.85827653495247,870.1863115893058,96.70127647652525,867.7287267542638
robust_synthetic,compact,20260615,synthetic,flat_high,"max=0.60, tiers=1.00/1.00/1.00",99.97372064876895,1.2669697595557743,1025.1983523936537,0.0,96.85827653495247,870.1863115893058,96.70127647652525,867.7287267542638
robust_synthetic,nominal,20260611,synthetic,hard_floor_only,"max=0.00, tiers=0.00/0.00/0.00",89.27089587508758,482.83019708307603,803.0200455794953,0.0,90.11171299433585,816.3599942266874,89.15644352159791,801.3661255171376
robust_synthetic,nominal,20260611,synthetic,cost_lean,"max=0.40, tiers=1.00/0.25/0.00",89.64463211454743,466.0113518137402,798.626442209782,0.0,90.11171299433585,816.3599942266874,89.15644352159791,801.3661255171376
robust_synthetic,nominal,20260611,synthetic,selected,"max=0.60, tiers=1.00/0.50/0.05",91.28957872461223,391.9856096192394,807.4948146496045,0.0,90.11171299433585,816.3599942266874,89.15644352159791,801.3661255171376
robust_synthetic,nominal,20260611,synthetic,flat_high,"max=0.60, tiers=1.00/1.00/1.00",95.28368405930672,212.24323379092698,929.45107457952,0.0,90.11171299433585,816.3599942266874,89.15644352159791,801.3661255171376
