feeder,seed,policy,energy_required_kwh,unmet_kwh,service_rate_percent,charging_cost,peak_load_kw,voltage_violation_rate_percent,transformer_violation_slots,projection_calls,projection_runtime_ms_total,projection_runtime_ms_mean,training_rounds,clients_per_round,update_precision_bits,estimated_training_bytes,relative_bytes
compact,20260611,uncontrolled,4500.191175906002,0.0,100.0,1114.3028659208337,247.29626389757996,0.0,0,0,0.0,0.0,,,,0,0.0
compact,20260611,edf_safe,4500.191175906002,2.4603001953238244,99.9453289849441,951.7050751868602,221.09378242961066,0.0,0,672,751.4701881445944,1.1182592085485037,,,,0,0.0
compact,20260611,fedavg_local_safe,4500.191175906002,126.11732009310894,97.19751194641817,838.391558996377,220.65841470883004,0.0,0,672,702.8482765890658,1.0459051734956337,60.0,8.0,32.0,42240,0.6470588235294118
compact,20260611,fedavg_graph_safe,4500.191175906002,108.85999832699201,97.58099169409007,841.1014056674887,225.58936411445958,0.0,0,672,703.3802410587668,1.0466967872898316,60.0,8.0,32.0,65280,1.0
compact,20260611,grid_fedgat_no_guard,4500.191175906002,115.97077403302785,97.42298116902379,833.6029840849097,218.81519486193238,0.0,0,672,712.6234341412783,1.0604515389007116,1.0,8.0,32.0,5984,0.09166666666666666
compact,20260611,grid_fedgat_pilot,4500.191175906002,39.33925662722301,99.12583143494335,842.0050920720732,225.9534403662949,0.0,0,672,719.8863802477717,1.071259494416327,1.0,8.0,32.0,5984,0.09166666666666666
compact,20260612,uncontrolled,4333.6385104469155,0.0,100.0,1025.2438854115308,238.66256160080303,0.018601190476190476,0,0,0.0,0.0,,,,0,0.0
compact,20260612,edf_safe,4333.6385104469155,5.009630631495913,99.88440128036939,881.2732520682216,216.87505439535406,0.0,0,672,789.2512674443424,1.174481052744557,,,,0,0.0
compact,20260612,fedavg_local_safe,4333.6385104469155,146.13683017327008,96.6278490967582,792.942053152791,220.2036682849784,0.0,0,672,741.1810760386288,1.102948029819388,60.0,8.0,32.0,42240,0.6470588235294118
compact,20260612,fedavg_graph_safe,4333.6385104469155,135.0423618258923,96.88385725989023,803.0400550064768,216.46818450398615,0.0,0,672,723.8404643721879,1.0771435481728986,60.0,8.0,32.0,65280,1.0
compact,20260612,grid_fedgat_no_guard,4333.6385104469155,142.46839039785982,96.71249943772612,790.2071204130668,219.83594224382858,0.0,0,672,748.4267582185566,1.1137302949680903,1.0,8.0,32.0,5984,0.09166666666666666
compact,20260612,grid_fedgat_pilot,4333.6385104469155,67.6934923098622,98.4379524931146,762.0323077029526,220.35916908503214,0.0,0,672,780.6031433865428,1.1616118205156887,1.0,8.0,32.0,5984,0.09166666666666666
compact,20260613,uncontrolled,4872.757998559619,0.0,100.0,1092.8378198531739,260.0562283225444,0.0,0,0,0.0,0.0,,,,0,0.0
compact,20260613,edf_safe,4872.757998559619,13.048321289351367,99.73221897551225,953.7296682747269,227.6788931165762,0.0,0,672,817.012642044574,1.2157926220901398,,,,0,0.0
compact,20260613,fedavg_local_safe,4872.757998559619,169.6032596583653,96.51935803689615,902.9582881367706,224.44429299132236,0.0,0,672,801.7613799311221,1.1930972915641698,60.0,8.0,32.0,42240,0.6470588235294118
compact,20260613,fedavg_graph_safe,4872.757998559619,172.03862950941988,96.46937874689705,896.5798542576512,223.47244652799827,0.0,0,672,796.303987968713,1.1849761725724897,60.0,8.0,32.0,65280,1.0
